year,age_band,ons_proportion,model_proportion,abs_error_pp,rel_error_pct
2025,65-69,0.272173,0.289568,1.739438,6.390926
2025,70-74,0.228949,0.204780,-2.416924,-10.556594
2025,75-79,0.220594,0.208397,-1.219714,-5.529231
2025,80-84,0.143926,0.163290,1.936433,13.454366
2030,65-69,0.282037,0.347222,6.518502,23.112231
2030,70-74,0.228931,0.231380,0.244872,1.069634
2030,75-79,0.184147,0.158307,-2.584051,-14.032516
2030,80-84,0.163779,0.154123,-0.965512,-5.895228
2035,65-69,0.264859,0.305431,4.057180,15.318277
2035,70-74,0.242565,0.285305,4.273989,17.619964
2035,75-79,0.188943,0.184067,-0.487593,-2.580643
2035,80-84,0.140338,0.119119,-2.121883,-15.119841
2040,65-69,0.237127,0.277474,4.034691,17.014879
2040,70-74,0.236764,0.259779,2.301437,9.720378
2040,75-79,0.208742,0.234455,2.571318,12.318174
2040,80-84,0.150932,0.143347,-0.758503,-5.025457
